,Name,Country,Brand,Categories,Type,Tasting Notes,ABV,IBU,Calories Per Serving (12 OZ/0.35L),Carbs Per Serving (12 OZ/0.35L),Food Pairing,Suggested Serving Temperature,Rating,Rate Count,Price,Volume,Description
175,Evil Twin La Flama Blanca,United States,Evil Twin,"ALE, Gose, Sour  Wild Ale",Craft Beer,,4%,,,,,40-45° F,5,1,$10.28 ,,"The beer is La Flama Blanca, a 4.5 percent ABV gose-style beer with both green apples and salt added and will be a joint effort of Evil Twin and Blanca, a restaurant based out of Brooklyn, N.Y. In an email, Jeppe Jarnit-Bjergsø, owner of Evil Twin, told Tenemu that the beer is scheduled to be brewed at Mount Pleasant, S.C.-based Westbrook Brewing Co. on Sept. 9."
177,Evil Twin Rhubard Compote Sour,United States,Evil Twin,"ALE, Berliner Weisse, Sour  Wild Ale",Craft Beer,,4%,,,,,45-50° F,5,1,$5.04 ,,Berliner weiss with rhubarb and vanilla added
178,Evil Twin Mission Gose,United States,Evil Twin,"ALE, Sour  Wild Ale",Craft Beer,"Tart, Sour, Salty, Light",4%,,,,"Fish - Meaty  Oily, Cheese - Blue",45-50° F,5,1,$11.50 ,,"Effortlessly cool, popping up up in a cultish fashion and constantly on a tasty mission. This is mission Gose: our take on a old-fashioned and slightly odd German style beer that is with good reason trending as the tastiest right now. It’s tart, salty, low in alcohol and probably the most refreshing beer you’ll have. Perhaps enjoy this beer in a restaurant with a mission near you. Wherever you are we made it stylishly good and exclusively well balanced just for you."
184,Evil Twin Biere Blanca,United States,Evil Twin,"ALE, Berliner Weisse, Sour  Wild Ale",Craft Beer,,4%,,,,,45-50° F,5,1,$11.99 ,,Pale ale brewed with herbs
271,Mikkeller Raspberry Blush,United States,Mikkeller,"ALE, Berliner Weisse, Sour  Wild Ale",Craft Beer,,4%,,,,,45-50° F,5,4,$13.99 ,,Formerly marketed as Fruit Face.Berliner Weisse with Raspberry and 2nd Craft Rye Whiskey Barrel Aged Ethiopian Coffee.
284,Mikkeller Table Talker,United States,Mikkeller,"ALE, Belgian-Style Ale",,,4.40%,,,,,50-55° F,5,1,$18.99 ,,Belgian Table Beer
140,Pipeworks Choice Helles Lager,United States,Pipeworks Brewing Company,"Helles Lager, Lager, Pale Lager",,,4.50%,,,,,40-45° F,5,1,$11.99 ,,
166,Evil Twin Ryan And The Gosling,United States,Evil Twin,"ALE, Pale Ale",Craft Beer,,4.50%,,,,,45-50° F,5,1,$11.00 ,,"Hey girl - just listening to you talk about how the 100% brettanomyces with CMY-1, CMY-5, CMY-7, along with the mash consisting of pale 2-row, Munich II, oats, wheat and honey, together with citrus peel and juice that is added at KO, followed by fresh zest with balanced citrussy hop characteristics at whirlpool - makes me wanna drink this beer just for you."
173,Evil Twin Tropical Itch,United States,Evil Twin,"ALE, Berliner Weisse, Sour  Wild Ale",Craft Beer,,4.50%,,,,,45-50° F,5,1,$15.00 ,,Berliner style weisse ale with passionfruit added.
179,Evil Twin Justin Blabaer,United States,Evil Twin,"ALE, Berliner Weisse, Sour  Wild Ale",Craft Beer,,4.50%,,,,,45-50° F,5,1,$12.04 ,,Blueberry Berliner Weisse aged in wine barrels.
180,Evil Twin C Is For Cherry Gose,United States,Evil Twin,"ALE, Gose, Sour  Wild Ale",,,4.50%,,,,,40-45° F,5,1,$11.34 ,,"Let's face it - we all like to put labels on things. It just makes us feel more comfortable. What assumptions have people made about you based on your race, religion, gender, the way you dress, or even the beer you drink? We did in fact label this beer for your convenience. It has a fresh tartness, a twist of salt and a balanced fruitiness of cherry - apparently a complete reflection of your personality. We hope you like what this label says about you?"
182,Evil Twin B Is For Blueberry Gose,United States,Evil Twin,"ALE, Gose, Sour  Wild Ale",Craft Beer,,4.50%,,,,,40-45° F,5,1,$14.99 ,,
183,Evil Twin Tropical Super Itchy,United States,Evil Twin,"ALE, Berliner Weisse, Sour  Wild Ale",Craft Beer,,4.50%,,,,,45-50° F,5,1,$16.10 ,,Berliner weisse style ale with passionfruit added
185,Evil Twin D Is For Dewberry,United States,Evil Twin,"ALE, Gose, Sour  Wild Ale",Craft Beer,,4.50%,,,,,40-45° F,5,1,$16.49 ,,
186,Evil Twin H Is For Hops Gose,United States,Evil Twin,"ALE, Gose, Sour  Wild Ale",,,4.50%,,,,,40-45° F,5,1,$5.19 ,,"Dry Hopped Gose-style ale brewed with salt.

Let's face it - we all like to put labels on things. It just makes us feel more comfortable. What assumptions have people made about you based on your race, religion, gender, the way you dress, or even the beer you drink? We did in fact label this beer for your convenience. It has a fresh tartness, a twist of salt and a balanced fruitiness of fresh hops - apparently a complete reflection of your personality. We hope you like what this label says about you"
234,Evil Twin The Pure and Simple IPA Is Rarely Pure and Never Simple IPA,United States,Evil Twin,"ALE, IPA, Session IPA",Craft Beer,,4.50%,,,,,45-50° F,5,1,$13.99 ,,Double Dry Hopped Session IPA
235,Evil Twin Citra Sunshine Slacker,United States,Evil Twin,"ALE, IPA, Session IPA",Craft Beer,"Light, Hoppy, Floral, Citrus",4.50%,,,,"Shellfish, Fruit - Citrus",45-50° F,5,1,$10.99 ,,"Despite his bitterness, lack of power and insuperable aversion to any kind of extravagant labor-he kind of has a charm and charisma, and perhaps he is even lovable. Somehow we find him unbelievably irresistible and stimulating because he is one of the few masters the ability to effortlessly impress with his sharp intelligence and make it look so damn easy."
294,Mikkeller Brewing Passion Pool Gose,United States,Mikkeller,"ALE, Gose, Sour  Wild Ale",,,4.50%,,,,,,5,1,$14.99 ,,"Our legendary Passionfruit Gose, 'Passion Pool' is enveloped in juicy tropical fruit, mild salinity, and a befuddling drinkability. Restrained acidity and zippy carbonation makes this our favorite hot weather treat."
48,Pipeworks Pineapple Guppy,United States,Pipeworks Brewing Company,"ALE, Pale Ale",,,4.60%,,,,,45-50° F,5,1,$10.99 ,,
108,Pipeworks Passion Fruit Guppy,United States,Pipeworks Brewing Company,"ALE, IPA",Craft Beer,,4.60%,,,,,45-50° F,5,1,$10.99 ,,"Session Pale Ale brewed with Honey, Passion Fruit, & Citra Hops"
278,Mikkeller Willets Wit,United States,Mikkeller,"ALE, Wheat Ale, Witbier",Craft Beer,,4.80%,,,,,45-50° F,5,1,$15.99 ,,
332,Mikkeller It’s My Vacation Too,United States,Mikkeller,"ALE, Gose, Sour  Wild Ale",,,4.80%,,,,,40-45° F,5,1,$25.99 ,,Gose-style Sour Brewed with Lemon
139,Pipeworks Premium Pilsner,United States,Pipeworks Brewing Company,"Lager, Pilsner",,,4.90%,,,,,,5,1,$11.99 ,,"""It's Beer You Can Drink"""
281,Mikkeller Can I Get A Wit Wit,United States,Mikkeller,"ALE, Wheat Ale, Witbier",,,4.90%,,,,,45-50° F,5,1,$18.74 ,,Refreshing Belgian-style Wit dry-hopped with all-American Amarillo. The traditional ingredients of coriander and orange peel combine with modern brewing styles to create a uniquely balanced and bright beer
331,Mikkeller Pom Pom Pash,United States,Mikkeller,"ALE, Berliner Weisse, Sour  Wild Ale",,,4.90%,,,,,45-50° F,5,1,$23.74 ,,"Pom Pom Pash is a Berliner-style Weisse beer brewed with copious amounts of pomegranate and passionfruit, which lend themselves towards a bright fruit-forward tartness."
160,Evil Twin Nomader Wit,United States,Evil Twin,"ALE, Wheat Ale, Witbier",Craft Beer,,5%,,,,,45-50° F,5,1,$10.74 ,,"Some people we know - the write about beers, and they have called those of us at Evil Twin Brewing ’nomads.’ Other people we know - they build a hotel and restaurant, and their neighborhood didn’t really have a name, so they called that ’NoMad.’ And how interesting that both nomads and those in NoMad enjoy a Brett-fermented Wit beer with notes of coriander and orange peel. So, no matter what - hit the road or hunker down... this beer was made nice, just for you."
170,Evil Twin Brewing Think Of A Beer You Would Want To Crush At Fire Island American Pale Ale,United States,Evil Twin,"ALE, American Pale Ale, Pale Ale",Craft Beer,,5%,,,,,45-50° F,5,1,$5.69 ,,
189,Evil Twin Even More 8 LB 6 OZ Newborn Infant Jesus,United States,Evil Twin,"ALE, Milk Stout, Stout",,,5%,,,,,,5,1,$13.49 ,,
292,Mikkeller Tiger Baby American Pale Ale,Denmark,Mikkeller,"ALE, American Pale Ale, Pale Ale",Craft Beer,,5%,,,,,45-50° F,5,1,$13.99 ,,
295,Mikkeller Passion Pool,United States,Mikkeller,"ALE, Gose, Sour  Wild Ale",,,5%,,,,,40-45° F,5,1,$18.99 ,,Ale brewed with passion fruit & sea salt.
306,Mikkeller Hues,Denmark,Mikkeller,"ALE, Lambic, Sour  Wild Ale",Craft Beer,,5%,,,,,45-50° F,5,1,$13.99 ,,"This spontaneous fermented beer has been aged in Hungarian oak barrels and appears with a light amber color with almost no head. The aroma is huge and very vinous. A clear impression of oxidized apples is the first thing that hits you, which made us think of heavy old fashioned British apple ciders. The aroma also reveals the wooden notes from the barrels along with some burned toffee and spices like Star anise. It has a very heavy acidic profile at first, one that quickly slides into a smooth kind of sweetness. We taste green apples, carambola and very young green grapes. It has a certain lactic acidic touch and a creamy dry finish that lasts forever and bares the green impressions through. Some mild creamy blue cheese on roasted rye bread would work great due to both the lactic and acidity impressions in this beer."
280,Mikkeller Lemoweizen,United States,Mikkeller,"ALE, Hefeweizen, Wheat Ale",,,5.10%,,,,,45-50° F,5,1,$21.99 ,,A traditional Hefeweizen with the added twist of lemon zest. The brightness and tartness of the zest balances delicately atop the sweet and round nature of the style.
264,Evil Twin Greenhouse Pils – American Oak Foudre Edition,United States,Evil Twin,"Lager, Pilsner",,,5.30%,,,,,,5,1,$20.00 ,,"Crispy pils conditioned on American Oak Foudre. Soft aromas of oak & vanilla with a honey and floral end. Rounded bitterness. Light bodied. Crisp.

"
111,Pipeworks Blood Orange Guppy IPA,United States,Pipeworks Brewing Company,"ALE, IPA, Session IPA",Craft Beer,,5.50%,,,,,45-50° F,5,1,$10.99 ,,Session IPA brewed with honey and blood orange.
162,Evil Twin Nasty Trunks Sour IPA,United States,Evil Twin,"ALE, Belgian-Style Ale, Saison  Farmhouse Ale",Craft Beer,,5.50%,,,,,45-50° F,5,1,$12.99 ,,"Did you also like Sour Bikini - a light bodied sour pale ale? This is Nasty Trunks - a more full-bodied India Pale Ale. Expect bigger muscles, more bitterness, a beer that is desperate for attention - in other words such a nasty pair of trunks."
167,Evil Twin Fire Water,United States,Evil Twin,"ALE, Pale Ale",Craft Beer,,5.50%,,,,,45-50° F,5,1,$11.19 ,,"Many of us have a passionate love-hate relationship with painfully spicy food and beverage - there is simply something substantial fascinating, thrilling and a little frightening about a burning sensation in your mouth. Scientists are at a loss why humans (and only humans) find such great joy in tasty pain. Perhaps it’s what makes us human - it takes a complicated brain, mixed with weird self-awareness to enjoy events that the body are programmed to treat as a threat but the mind knows better. Test your human skills with this burning beer - mind over body. Fire walk with me."
168,Evil Twin Hipster Ale,United States,Evil Twin,"ALE, American Pale Ale, Pale Ale",Craft Beer,"Bready, Malty, Sweet, Light",5.50%,,,,"Fruit - Dried, Beef",45-50° F,5,1,$3.39 ,,"Perhaps you heard of a worldwide beer-movement that tributes favourite hipster neighbourhoods across the globe. First came Istedgade, Copenhagen. Then Södermalm, Stockholm. Followed by Williamsburg, New York and Shoreditch, London, accompanied by Trastevere, Rome and last year El Raval, Barcelona.    If you feel excluded because you’re hip but your city is not., this cutting-edge, ‘hip without border’ pale ale is a homage to you – the global hipster. Cheers!"
169,Eviltwin Williamsburg Hipster Ale,United States,Evil Twin,"ALE, American Pale Ale, Pale Ale",Craft Beer,,5.50%,,,,,45-50° F,5,1,$8.97 ,,
217,Evil Twin Retro IPA,United States,Evil Twin,"ALE, IPA",Craft Beer,"Smooth, Light, Citrus, Bready",5.50%,,,,"Duck  Game Bird, Fruit - Sweet",45-50° F,5,1,$9.99 ,,This is a tasty time-traveling tribute to an all time iconic beer style - the India Pale Ale. Though the style goes 200 years back this time around we re-created a 1985 style IPA - perhaps you remember the hip hop times. Enjoy a full on hoppy beer infused with everything you loved about the 80’s. The future is now.
221,Evil Twin Modern IPA,United States,Evil Twin,"ALE, IPA",Craft Beer,"Hoppy, Fruity, Grapefruit, Citrus",5.50%,,,,"Salads  Greens, Chicken",45-50° F,5,1,$9.99 ,,"This is a tasty tribute to a beloved and iconic beer style - the India Pale Ale. The style goes 200 years back - has been through every spectrum of the flavor palette and had it’s ups and downs on the IBU scale. This time around we re-created a contemporary style IPA - basically the taste of the perfect IPA right now. Understated hop flavors, fruity and crisp. The future is now."
263,Evil Twin Low Life,United States,Evil Twin,"Lager, Pilsner",Craft Beer,,5.50%,,,,,40-45° F,5,1,$10.99 ,,"A clever woman once said; ’fair is foul and foul is fair’. On that note we threw in a young, unacknowledged hoppy pilsner, gave it a limp, wrinkly flavor and finished it off with an insulting high price that will give you a foul feeling in your mouth. That’s why we name Evil Twin Brewing’s Low Life the Golddigger of Beers."
267,Evil Twin The Cowboy,United States,Evil Twin,"Smoked Beer  Rauchbier, Specialty Beer  Alternatives",Craft Beer,,5.50%,,,,,,5,1,$11.64 ,,"Smoked pilsner. I need to know what kind of beer cowboys drink, as I have recently become one. I want to be the best cowboy I can be, and I think drinking the correct beer is important. I already have a cowboy hat and a nice big shiny buckle."
272,Mikkeller Staff Magician Pale Ale,United States,Mikkeller,"ALE, American Pale Ale, Pale Ale",Craft Beer,,5.50%,,,,,45-50° F,5,2,$12.99 ,,
299,Mikkeller Spontandryhop Citra,Denmark,Mikkeller,"ALE, Sour  Wild Ale, Wild Ale",Craft Beer,,5.50%,,,,,45-50° F,5,1,$7.04 ,,"Spontan is 100% spontaneously beer fermented in oak barrels for 1 to almost 3 years. It is made with wort produced by lambic producers, not with wort and microbiological cocktails.  Brettanomyces is then added for refermentation in the bottle (to make sure we have alive yeast after 3 years)."
303,Mikkeller Spontandryhop Centennial,Denmark,Mikkeller,"ALE, Sour  Wild Ale",Craft Beer,,5.50%,,,,,45-50° F,5,1,$8.02 ,,"SpontaDryHop Centennial is a blonde beer produced by Mikkeller, one of the world’s most innovative, prodigious breweries. Pouring light hazy yellowy-orange with a medium white head, this dry-hopped lambic, a spontaneous fermentation beer, boasts soft malt, caramel, hops and fruit scents, as well as a citrusy side, with grapefruit, orange and lemon perfumes, and an agreeable mustiness. The palate of this lightly sparkling beer is sweet and sour with a moderate bitterness, and a discrete alcohol profile, coupled with an unusual though not unpleasant silage scent. Another triumph for Mikkeller!"
308,Mikkeller Spontandryhop Simcoe,Denmark,Mikkeller,"ALE, Sour  Wild Ale",Craft Beer,,5.50%,,,,,45-50° F,5,1,$8.49 ,,Give it up for the Dry Hopped Simcoe Sour Ale - She's about to change your look on hops for good!
273,Mikkeller Shapes Blonde Ale,United States,Mikkeller,"ALE, Golden  Blonde Ale",Craft Beer,,5.60%,,,,,45-50° F,5,1,$12.04 ,,"Brewed in San Diego, Mikkeller Shapes Blonde is a pale Belgium ale with a golden color and white head. It has a fruity flavor finished by a strong hoppy taste. The light-bodied beer is malty and satisfying. It has some mild earthy notes, too, such as fresh grass and pine."
293,Mikkeller Sparks Pale Ale,Denmark,Mikkeller,"ALE, American Pale Ale, Pale Ale",Craft Beer,,5.60%,,,,,45-50° F,5,1,$6.04 ,,Supremely balanced American Pale Ale from Mikkeller's San Diego outfit. A citrus-meets-caramel aroma continues to the body. A moderate bitterness on the palate means this is incredibly moreish.
269,Evil Twin Island Bliss,United States,Evil Twin,"Malt Liquor, Specialty Beer  Alternatives",Craft Beer,,5.80%,,,,,35-40° F,5,1,$17.99 ,,
2,Pipeworks Lizard King,United States,Pipeworks Brewing Company,"ALE, Pale Ale",Craft Beer,,6%,,,,,45-50° F,5,8,$11.54 ,,"This American Pale Ale is fresh as they come and only being poured at select bars in Chicago. Brewed with Mosaic and Amarillo hops, Lizard King will be the perfect way to start (or end) your day."
47,Pipeworks Death Of Cool Pale Ale,United States,Pipeworks Brewing Company,"ALE, Pale Ale",Craft Beer,,6%,,,,,45-50° F,5,1,$13.99 ,,Lemon Lime IPA
106,Pipeworks A Real Gem Oat IPA,United States,Pipeworks Brewing Company,"ALE, IPA, New England  Hazy IPA",,,6%,,,,,,5,1,$19.99 ,,Oat IPA w/ Guava
157,Evil Twin P.H.A.T Porter,United States,Evil Twin,"ALE, Porter",Craft Beer,,6%,,,,,45-50° F,5,1,$12.01 ,,"Have you ever considered why some people get stuck in a certain hairstyle, dress sense or even a political view, that went out of style many years ago. They are stranded in a period of their life where they peaked as a human and desperately want to hold on to that image. Wake up, before you know it, you’re becoming an old stubborn fool. So take a good look at yourself, unless you’re sure that I’m not right."
226,Evil Twin Brewing Femme Fatale Blanc,United States,Evil Twin,"ALE, IPA",Craft Beer,,6%,,,,,45-50° F,5,1,$11.99 ,,"To take up the challenge and make a 100% true Brett IPA can very easily become a fatal attraction for the Brewmaster. Once you get acquainted with Nelson Sauvin’s fruity and seductive personality, along with Bretts irresistible, overpowering, alluring and very charming nature, it will ensnare you and drive you mad obsessing over how exactly you can create the perfect desirable tangy, funky, crisp, tart flavor in ya mouth."
227,Evil Twin Femme Fatal Brett,United States,Evil Twin,"ALE, IPA",Craft Beer,,6%,,,,,45-50° F,5,1,$11.04 ,,"To take up the challenge and make a 100% true Brett beer can very easily become a fatal attraction for the Brewmaster. Ones you get acquainted with Bretts irresistible, seductive, alluring and very charming nature, it will ensnare you and drive you to the point of obsession to create the desirable tangy, funky, tart flavor in ya mouth."
258,Evil Twin Brewing Femme Fatale Noir,United States,Evil Twin,"ALE, IPA",Craft Beer,,6%,,,,,45-50° F,5,1,$11.49 ,,"To take up the challenge and make a 100% true Brett black IPA can very easily become a fatal attraction for the Brewmaster. Once you get acquainted with Bretts irresistible, seductive, alluring and very charming nature, it will ensnare you and drive you mad obsessing over how exactly you can create the perfect desirable tangy, funky, tart flavor in ya mouth."
262,Evil Twin Raceday Sour IPA With Pineapple And Aloe Vera Salt,United States,Evil Twin,"ALE, IPA",Craft Beer,,6%,,,,,45-50° F,5,1,$16.49 ,,
291,Mikkeller All Others Pale,Denmark,Mikkeller,"ALE, Pale Ale",Craft Beer,,6%,,,,,45-50° F,5,1,$8.74 ,,"As in “all others pale in comparison.” Or as Mikkeller writes: “a pale ale with a little more of everything.” A light, drinkable, elegant beer that is, like all Mikkeller beers, extremely well balanced. What sets this one apart is its low alcohol content. At only 6% ABV, it is a much lighter drink than most of this Danish brewer’s other beers. But don’t let that fool you. This pale outshines all others in flavor. Made with Maris Otter, Pale, Munich, Carapils, and Caramunich malts and Simcoe, Centennial, Amarillo, and Nugget hops."
301,Mikkeller Winbic,Denmark,Mikkeller,"ALE, Sour  Wild Ale",Craft Beer,,6%,,,,,45-50° F,5,1,$16.99 ,,"Lets us introduce Win Bic. Win Bic is a new friend in the X-mas family from Mikkeller.   Its a blended Spontan Ale and Saison, It is 6,0% abv, It is awesome and it comes in a magnum bottle. Welcome Win Bic.   The Tasting panel Said:   Cloudy light orange with a fine foamy thick white head  Aroma – A mild spicy impression with acidic green apples, cloves and a sweetness as from dried apricots. We also find some bitterness as from lemon peel and a lactic touch. You clearly sense the saison notes as white pepper and mild various spices.  The taste blasts out the saison expressions in the beginning and we think of oxidated apples as you find in certain ciders – after that you get the lactic and sour impression that appears very refreshing and drinkable. A freshness topped with dry impressions of the barrels. You feel like another sip.  The mouth feel is not as carbonated and fizzy as in most of Mikkellers spontan beers. The finish is very dry with a touchy bitterness that again reminds of citric peel. For some this citric bitterness could get too much."
1,Pipeworks Glaucus,United States,Pipeworks Brewing Company,"ALE, Belgian-Style Ale, IPA",Craft Beer,,6.20%,,,,,50-55° F,5,1,$11.99 ,,"Glaucus is the mythological existence of a being, both man and fish, a deity amongst mere mortals. The only beer fitting of such a name marries bold, spicy Belgian yeast with bright, citric American hops in a way even the gods adore. This golden brew can calm even the harshest seas. It's been awhile since we've brewed this beer, and we couldn't be happier that it's back."
279,Mikkeller Wit Fit,Denmark,Mikkeller,"ALE, Wheat Ale, Witbier",Craft Beer,,6.20%,,,,,45-50° F,5,1,$9.99 ,,An imperial American wit beer brewed with spices.
3,Pipeworks Blood Of The Unicorn,United States,Pipeworks Brewing Company,"ALE, Amber  Red Ale",Craft Beer,,6.50%,,,,,45-50° F,5,1,$11.19 ,,"In this epic battle, the Blood of the Unicorn has been shed by the sword of the deadly assassin of the east. One sip of this.aggressively hopped red ale clearly reveals what drives these, the greatest of, hop heads of lore. Is this the end of the mythical horned horse? Or will he rise like the phoenix to fight another day?"
1,Pipeworks North & Western,United States,Pipeworks Brewing Company,"ALE, Belgian-Style Ale, Saison  Farmhouse Ale",Craft Beer,,6.50%,,,,,50-55° F,5,1,$10.00 ,,"North & Western is a dry-hopped Saison style ale. Starting with a base of pilsner malt we infuse this beer with hops from around the globe, both in the boil and with a hefty dose of dry hops in the tank. The result is a complex combination of spicy yeast character with layers of floral, citrus, pone, and fruity hop notes. Drink this one fresh to get the most from the awesome bouquet of hops."
137,Pipeworks Genuine Bock Beer,United States,Pipeworks Brewing Company,"Bock, Lager",Craft Beer,,6.60%,,,,,50-55° F,5,1,$15.72 ,,It is a genuinely tasty genuine bock beer!
285,Mikkeller Mastodor Mother Puncher,Denmark,Mikkeller,"ALE, Belgian-Style Ale",Craft Beer,,6.60%,,,,,50-55° F,5,1,$5.79 ,,
286,Mikkeller Ah Hvad?!,Denmark,Mikkeller,"ALE, Belgian-Style Ale",Craft Beer,,6.80%,,,,,50-55° F,5,1,$12.99 ,,
13,Pipeworks A Foolish Wit,United States,Pipeworks Brewing Company,"ALE, Wheat Ale, Witbier",Craft Beer,,7%,,,,,45-50° F,5,1,$8.79 ,,"We're not joking around here, the jester has returned! A Foolish Wit was our original Belgian style wit beer, brewed with amchoor, (dried green mango), lemony sumac, and traditional green coriander. This is a wit that even those wielding the sharpest of tongues will enjoy. Light, bright, and full of lemony wheat flavor, this ale is ripe with mischief."
1,Pipeworks Poivre Vert,United States,Pipeworks Brewing Company,"ALE, Belgian-Style Ale, Saison  Farmhouse Ale",Craft Beer,,7%,,,,,50-55° F,5,1,$10.00 ,,"This is a beer that's very beloved here at Pdubs, and it's been a while since we've made it. When the warmer weather comes around and the temps rise in the brewhouse, there's nothing like a cold glass of this insanely refreshing brew after the day's wrapped up."
1,Pipeworks Mosaic Saison,United States,Pipeworks Brewing Company,"ALE, Belgian-Style Ale, Saison  Farmhouse Ale",Craft Beer,,7%,,,,,50-55° F,5,1,$8.49 ,,
1,Pipeworks Citra Saison,United States,Pipeworks Brewing Company,"ALE, Belgian-Style Ale, Saison  Farmhouse Ale",Craft Beer,,7%,,,,,50-55° F,5,1,$10.00 ,,
1,Pipeworks Cucumber Saison,United States,Pipeworks Brewing Company,"ALE, Belgian-Style Ale, Saison  Farmhouse Ale",Craft Beer,,7%,,,,,50-55° F,5,1,$6.99 ,,
90,Pipeworks Infinite Galaxy IPA,United States,Pipeworks Brewing Company,"ALE, IPA",Craft Beer,,7%,,,,,45-50° F,5,1,$12.99 ,,Galaxy Hopped IPA
92,Pipeworks Velocity Of Light DDH IPA,United States,Pipeworks Brewing Company,"ALE, IPA",Craft Beer,,7%,,,,,45-50° F,5,1,$16.99 ,,Double Dry Hopped Oat India Pale Ale
128,Pipeworks Majestic,United States,Pipeworks Brewing Company,"ALE, IPA",Craft Beer,,7%,,,,,45-50° F,5,1,$8.99 ,,
145,Pipeworks Chaton Rose,United States,Pipeworks Brewing Company,Fruit Beer,Craft Beer,,7%,,,,,45-50° F,5,1,$8.74 ,,
