,Name,Country,Brand,Categories,Tasting Notes,ABV,Base Ingredient,Years Aged,Rating,Rate Count,Price,Volume,Description
91,BACARDÍ Ready-To-Serve Island Tea Cocktail,Puerto Rico,Bacardi Rum,Ready-to-Drink,,12.50%,,,5,3,$10.52 ,,"BACARDÍ Ready to Serve Cocktails are convenient and ready to party. No need to mix, prepare or buy other ingredients, giving you more time to enjoy the moment. Made with BACARDÍ Rum, natural flavors, real ingredients (cane sugar, natural juices or concentrates), and no artificial sweeteners. Consistently high quality and always refreshing, fun and full-flavored at 12.5% ABV."
78,BACARDÍ Ready-to-Serve Hurricane Cocktail,Puerto Rico,Bacardi Rum,"Hurricane Ready-to-Drink, Ready-to-Drink",Tropical Fruit,12.50%,,,5,15,$10.99 ,,"BACARDÍ Ready to Serve Cocktails are convenient and ready to party. No need to mix, prepare or buy other ingredients, giving you more time to enjoy the moment. Made with BACARDÍ Rum, natural flavors, real ingredients (cane sugar, natural juices or concentrates), and no artificial sweeteners. Consistently high quality and always refreshing, fun and full-flavored at 12.5% ABV."
43,DeKuyper Red Apple Schnapps Liqueur,United States,DeKuyper Liqueur,Liqueur,,15%,,,5,1,$10.99 ,,"Brighten any beverage with the flavor of DeKuyper® Red Apple Schnapps Liqueur. Enjoy autumn all year round when you sip the crisp, red apple flavor of this delicious liqueur. With its bold flavor and red color, it makes a mouth-watering, colorful flavor shot and the perfect mixer for your fruit-forward cocktails."
48,DeKuyper Cranberry Schnapps Liqueur,United States,DeKuyper Liqueur,Liqueur,,15%,,,5,1,$10.99 ,,"DeKuyper® Cranberry Schnapps Liqueur is a delightful twist on a classic cocktail ingredient. Deliciously tart, this deep red liqueur is made with real cranberry juice and extract. Add it to your favorite cocktails instead of regular cranberry juice for an added sour punch and burst of red color. Stir it up with DeKuyper® Peachtree®, Pucker® Watermelon Schnapps and a splash of sour mix and orange juice for a pleasantly tropical Pacific Rim."
54,DeKuyper Mixed Berry Medley Schnapps Liqueur,United States,DeKuyper Liqueur,"Fruit Liqueur, Liqueur",,15%,,,5,1,$10.99 ,,"Brighten any beverage with the flavor of DeKuyper® Mixed Berry Medley Schnapps Liqueur. Enjoy a luscious and enticing blend of strawberry, blueberry and raspberry, sure to please anyone's palate. Accentuate its fruity taste with sour mix or cranberry juice in your cocktails."
39,DeKuyper Kamikaze Shots,United States,DeKuyper Liqueur,Liqueur,,20%,,,5,1,$10.99 ,,"Pour a perfect shot for any occasion with DeKuyper® Kamikaze Shots. Ready-to-drink, the ultimate shot now comes in a bottle as part of DeKuyper's Shots line. Sipped on its own or used as part of your favorite cocktail recipe, this ready-to-serve drink is perfectly blended for maximum flavor. Serve it straight out of the bottle, on the rocks or shake it up with ice and strain it into a chilled glass for the complete Kamikaze experience."
44,DeKuyper Sex on the Beach Shots,United States,DeKuyper Liqueur,"Fruit Liqueur, Liqueur",,20%,,,5,1,$10.99 ,,"Pour a perfect shot for any occasion with DeKuyper® Sex on the Beach Shots. All you need is one bottle for a perfect pour of this famous shot every time. Sipped on its own or used as part of your favorite cocktail recipe, this ready-to-serve drink is perfectly blended for maximum flavor"
52,DeKuyper Alabama Slammer Liqueur,United States,DeKuyper Liqueur,Liqueur,,20%,,,5,1,$10.99 ,,1 shot. 1 bottle. Pour a round of this famously tasty shot. Part of our Ready-to-Drink Shots line.
0,Dekuyper Triple Sec Liqueur,United States,DeKuyper Liqueur,"Citrus, Triple Sec Liqueur, Liqueur",,24%,,,5,187,$10.99 ,,"DeKuyper® Triple Sec Cordial brings the essence of orange to your favorite cocktails. DeKuyper's blend meticulously melds the flavors of sweet and bitter oranges from distilled dried peels for a one-of-a-kind liqueur. An essential ingredient in any bartender's repertoire, this cordial has a pronounced and lingering citrus taste. No margarita, long island iced tea, or cosmopolitan is complete without the distinctive orange flavor of triple sec."
23,DeKuyper Crème de Almond Liqueur,United States,DeKuyper Liqueur,"Liqueur, Nuts, Amaretto Liqueur",,24%,,,5,2,$10.99 ,,"Blend almond and cream into your favorite cocktails with DeKuyper® Crème de Almond. Sweet and luxurious, this liqueur boasts the unmistakable flavor of almonds. Bring out its mellow and smooth flavor with coffee, fruity cocktails or as an ingredient in decadent desserts. Mix it with rum, pineapple juice and orange juice for a festive and delicious Island Punch, a sweet and creamy addition to any celebration."
51,DeKuyper Crave Chocolate Truffle Liqueur,United States,DeKuyper Liqueur,"Chocolate, Sweet Liqueur, Liqueur",,40%,,,5,1,$10.99 ,,
32,DeKuyper Root Beer Schnapps Liqueur,United States,DeKuyper Liqueur,Liqueur,,40%,,,5,1,$11.19 ,,"Brighten any beverage with the flavor of DeKuyper® Root Beer Schnapps Liqueur. Add the rich taste of old-fashioned root beer to your cocktail. Deep brown and packed with flavor, this schnapps pairs well with cream and makes a surprising and delicious complement to fruit flavors. Deliver a DeKuyper® twist to the classic root beer float as a Root Beer Freeze, blending it with vanilla ice cream and cola or stir it with Pucker® Sour Apple and cola in a fun and tasty Apple Beer. With a heritage dating back more than 300 years, DeKuyper Cordials , Liqueurs continues to be on the cutting edge of the spirits industry."
354,Jose Cuervo Ready-To-Drink Margarita,United States,Jose Cuervo,"Margarita Ready-to-Drink, Ready-to-Drink",,9.95%,,,5,9,$11.49 ,,"The world’s #1 ready-to-serve margaritas come in many classic, fruity and fun flavors. Jose Cuervo® Classic Margarita starts tart lime peel fading quickly into creamy lemon and agave. Finishes with tequila and sweet oranges. Just chill or add ice. (9.95% ABV – 19.9 proof). • America’s Favorite Ready-to-Drink Margarita, Authentic Cuervo® Margaritas are made exclusively with Jose Cuervo® tequila. Just pour and serve, no mixing required."
36,DeKuyper Peach Pucker Schnapps Liqueur,United States,DeKuyper Liqueur,Liqueur,,15%,,,5,1,$11.54 ,,"Energize your cocktails with DeKuyper® Pucker® Peach Schnapps Liqueur. Bring endless cocktail possibilities to the party with this bartender's staple. Blending sweet and tart peach flavor, make it part of your favorite cocktails for a sweet and refreshing taste. Stir it up with Pucker® Raspberry, Pucker Watermelon, and cranberry juice for a tangy, red Fruit Splash."
55,DeKuyper Red Headed Shots,United States,DeKuyper Liqueur,Liqueur,,46%,,,5,1,$11.54 ,,"Pour a perfect shot for any occasion with DeKuyper® Red Headed Shots. A welcome addition to any cocktail party, this ready-to-drink shot requires no mixing, just enjoying. Sipped on its own or used as part of your favorite cocktail recipe, this ready-to-serve drink is perfectly blended for maximum flavor."
28,DeKuyper Peach Flavored Brandy,United States,DeKuyper Liqueur,"Brandy, Liqueur, Cordials,  Schnapps",,30%,,,5,1,$11.65 ,,"Brighten any beverage with the distinctive fruit flavor of DeKuyper® Peach Flavored Brandy. Perfect for sipping with friends, this fine brandy is crafted with premium peach distillate. Fresh with delicate ripe peach flavor, this brandy is perfect for fruit-forward cocktails with juicy fresh-picked taste. Shake it up with DeKuyper® Triple Sec and lemon juice for a crisp and refreshing Peach Sidecar."
1,DeKuyper Peachtree Schnapps Liqueur,United States,DeKuyper Liqueur,Liqueur,,20%,,,4.8,79,$11.69 ,,"DeKuyper® Peachtree® Schnapps Liqueur brings rich and juicy peach flavor to your favorite drinks. Add a splash of bold flavor to your cocktails with this fruity liqueur. Bursting with the taste of tree-ripe peaches, this schnapps is carefully created with flavors from fresh fruit sourced from around the world. The foundation of classic favorites like the Fuzzy Navel, Peachtree® Schnapps puts the flavor of summer in your cocktails."
38,DeKuyper Peach Flavored Brandy,United States,DeKuyper Liqueur,Liqueur,,30%,,,5,1,$11.70 ,,"Brighten any beverage with the distinctive fruit flavor of DeKuyper® Peach Flavored Brandy. Perfect for sipping with friends, this fine brandy is crafted with premium peach distillate. Fresh with delicate ripe peach flavor, this brandy is perfect for fruit-forward cocktails with juicy fresh-picked taste. Shake it up with DeKuyper® Triple Sec and lemon juice for a crisp and refreshing Peach Sidecar."
24,DeKuyper Blackberry Flavored Brandy,United States,DeKuyper Liqueur,"Brandy, Liqueur, Cordials,  Schnapps",,30%,,,5,1,$11.85 ,,"Crafted with extracts of blackberries blended with fine brandy, DeKuyper® Blackberry Flavored Brandy makes a mouthwatering treat. Only the finest fruits are selected and specially blended to bring out the full-bodied blackberry taste. Sip it on its own for a smooth, full-bodied drink or balance your favorite cocktails with its deep blackberry flavor. Perfect in any season, accentuate the flavors of fall by blending it with a pint of hard apple cider or a Bramble in summer, melding its berry taste with gin, fresh lemon juice and sugar syrup."
5,DeKuyper Peppermint Schnapps Liqueur,United States,DeKuyper Liqueur,"Herbal, Spice Liqueur, Liqueur",,30%,,,5,34,$11.89 ,,"DeKuyper® Peppermint Schnapps Liqueur infuses your cocktails with fresh peppermint flavor. Cool and refreshing, this delicious clear schnapps is made with peppermint extract. Perfect for holiday cocktails, this liqueur brings a smooth and minty note to any drink year-round."
346,Jose Cuervo Authentic Lime Margarita,Mexico,Jose Cuervo,"Margarita Ready-to-Drink, Ready-to-Drink",,9.95%,,,4.8,82,$11.99 ,,"The world’s #1 ready-to-serve margaritas come in many classic, fruity and fun flavors. Jose Cuervo® Classic Margarita starts tart lime peel fading quickly into creamy lemon and agave. Finishes with tequila and sweet oranges. Just chill or add ice. (9.95% ABV – 19.9 proof). • America’s Favorite Ready-to-Drink Margarita, Authentic Cuervo® Margaritas are made exclusively with Jose Cuervo® tequila. Just pour and serve, no mixing required."
2,DeKuyper Sour Apple Pucker Schnapps Liqueur,United States,DeKuyper Liqueur,Liqueur,,15%,,,5,47,$11.99 ,,"DeKuyper® Pucker® Sour Apple Schnapps Liqueur puts the sour apple in the world famous Sour Appletini. Add a splash of bold flavor to your cocktails with this fruity liqueur. A sweet and sour sensation, this liqueur bursts with sweetness followed by a mouth-puckering sourness. Great for mixing, Pucker® Sour Apple makes a great foundation for green apple inspired martinis, punches, daiquiris, and more"
19,DeKuyper Strawberry Pucker Schnapps Liqueur,Netherlands,DeKuyper Liqueur,Liqueur,,15%,,,5,2,$11.99 ,,Pucker up for this sweet burst of strawberry flavor.
30,Dekuyper Vanilla Schnapps Liqueur,United States,DeKuyper Liqueur,"Brandy, Liqueur, Cordials,  Schnapps",,15%,,,5,1,$11.99 ,,The vanilla flavors of this liqueur make for deliciously smooth vodka martinis. Liquor
33,DeKuyper Island Punch Pucker Liqueur,United States,DeKuyper Liqueur,"Citrus, Triple Sec Liqueur, Liqueur",,15%,,,5,1,$11.99 ,,"Bring the taste of the tropics to your cocktail with DeKuyper® Pucker® Island Punch Schnapps Imitation Liqueur. Bursting with the sweet and sour taste of tropical fruit, this blue liqueur is a staple for summertime beverages. Enhance the taste of melon, banana and other fruit cocktails with its satisfying island flavor. Pour it with Pinnacle® Vodka, DeKuyper® Crème de Banana and pineapple juice for a Blue Banana, a summer vacation in a glass"
35,DeKuyper Grape Liqueur,Netherlands,DeKuyper Liqueur,Liqueur,,15%,,,5,1,$11.99 ,,"Tart, purple and delicious, this liqueur puts flavor and fun into all your drinks."
40,DeKuyper Cactus Juice Schnapps Liqueur,United States,DeKuyper Liqueur,Liqueur,,15%,,,5,1,$11.99 ,,"Beat the heat with the sweetness of DeKuyper® Cactus Juice® Schnapps Liqueur. Capturing the essence of cactus in a bottle, this fun liqueur bursts with the flavor of real margaritas. Add the refreshing and surprising taste of cactus to your favorite summertime cocktails. Make a fun and colorful Desert Island, pouring it with DeKuyper® Island Punch Schnapps and club soda over ice, or mix it with cranberry juice in a Cranberry Cactus. With a heritage dating back more than 300 years, DeKuyper Cordials , Liqueurs continues to be on the cutting edge of the spirits industry"
42,DeKuyper Tropical Pineapple Schnapps Liqueur,United States,DeKuyper Liqueur,Liqueur,,15%,,,5,1,$11.99 ,,"Bring the taste of the tropics to your cocktail with DeKuyper® Tropical Pineapple Imitation Schnapps Liqueur. Put yourself in a tropical paradise state-of-mind with this mouth-watering addition to any cocktail. Smooth with unmistakable tropical flavor, this schnapps is the perfect ingredient for island-inspired cocktails."
46,Dekuyper Vanilla Schnapps Liqueur,United States,DeKuyper Liqueur,Liqueur,,15%,,,5,1,$11.99 ,,The vanilla flavors of this liqueur make for deliciously smooth vodka martinis. Liquor
50,DeKuyper Pucker Berry Fusion Liqueur,United States,DeKuyper Liqueur,Liqueur,,15%,,,5,1,$11.99 ,,"Tart and sweet, DeKuyper® Pucker® Berry Fusion Schnapps Liqueur adds a fruit-flavored kick to your favorite drinks. Enhancing even the best cocktails with its sweet strawberry, raspberry and blueberry flavors, this Pucker® is specially crafted for a delightful drink. Vibrant and blue, this sweet and sour schnapps makes a fresh addition to your favorite drinks or chilled shot for a mouth-puckering experience. Pour it with equal parts vodka and soda water over ice for a cool and refreshing Icebreaker Fizz or create a sweet and sour Berry Fusion Martini with vodka, lemonade, lime, mint and a little sugar. With a heritage dating back more than 300 years, DeKuyper® Cordials , Liqueurs continues to be on the cutting edge of the spirits industry. DeKuyper's evolution has been successful through the combination of its rich, traditional expertise and modern innovation, creating mixable and versatile cordials, liqueurs, crèmes, brandies and schnapps made from the world's finest ingredients. DeKuyper has been the brand bartenders trust to add color, flavor and fun to any cocktail."
65,Dekuyper Pucker Cheri Beri Schnapps,United States,DeKuyper Liqueur,Liqueur,,15%,,,5,1,$11.99 ,,
8,DeKuyper Amaretto Liqueur,Netherlands,DeKuyper Liqueur,"Liqueur, Nuts, Amaretto Liqueur",,20%,,,5,13,$11.99 ,,"With added vanilla extract, fresh lemon distillate and a touch of caramel, deep gold DeKuyper® Amaretto takes this traditional liqueur to the next level. Showcasing a rich, amber color, this liqueur delivers the unmistakable aroma of almonds. Each sip of this complex and versatile liqueur carries sweet almond notes to hot coffee drinks, cold shots and colorful cocktails. Smooth and versatile, drink it on its own or add it to sour mix for a delicious Amaretto Sour."
58,DeKuyper Washington Apple Shots,United States,DeKuyper Liqueur,Liqueur,,20%,,,5,1,$11.99 ,,"Pour a perfect shot for any occasion with DeKuyper® Washington Apple Shots. Crisp and tart, this shot is a hit at cocktail or dinner parties. Sipped on its own or used as part of your favorite cocktail recipe, this ready-to-serve drink is perfectly blended for maximum flavor."
3,DeKuyper Blue Curacao Liqueur,United States,DeKuyper Liqueur,Liqueur,,24%,,,5,35,$11.99 ,,"Elementary and world famous, DeKuyper® Blue Curacao Liqueur is a solid basis for creating classic cocktails. Synonymous with island flavor, this DeKuyper® favorite is harmoniously blended from distilled extracts of oranges, lemons, and Curacao fruit. The essence of this liqueur is the Curacao or Lahara fruit, famous for being bitter. Balanced for sweetness, this blue liqueur is incredibly useful in crafting distinctive drinks."
9,DeKuyper Creme De Cocoa White Liqueur,Netherlands,DeKuyper Liqueur,Liqueur,,24%,,,4.3,8,$11.99 ,,"Carefully distilled spirits are combined with cacao beans , vanilla."
18,DeKuyper Creme de Menthe White Liqueur,United States,DeKuyper Liqueur,Liqueur,,30%,,,5,2,$11.99 ,,"Energize your cocktails with DeKuyper® Crème de Menthe White. Mint leaves make this liqueur and cocktails made with it, undeniably smooth and rich, with a cool refreshing taste. Add it to your favorite cocktails instead of mint leaves for an extra boost of invigorating mint flavor. Blend it in an ice-filled shaker with vodka and pour into a martini glass for a bracing Victory Vodka Stinger."
29,DeKuyper Coffee Flavored Brandy,United States,DeKuyper Liqueur,"Brandy, Liqueur, Cordials,  Schnapps",,30%,,,5,1,$11.99 ,,"Add rich coffee flavor to your cocktail repertoire with DeKuyper® Coffee Flavored Brandy. Perfect poured over or mixed into your favorite desserts, its bold coffee flavor infuses cocktails with subtle warm notes of vanilla, caramel, and chocolate. Serve it with vodka and cream over ice for a delicious White Russian, balancing subtle bittersweet coffee taste, vodka heat, and silky cream."
41,DeKuyper Annisette,United States,DeKuyper Liqueur,Liqueur,,30%,,,5,1,$11.99 ,,"Distilled with imported aniseed and blended with fine neutral spirit, this liqueur's fresh black licorice flavor shines through. With its rich, deep flavor, Anisette makes a perfect addition to after-dinner cocktails. Update the classic Martini as a Black Anisette Martini, adding DeKuyper® Blackberry and Vanilla with vodka, lime juice and muddled fresh blackberries, balancing sweetness with its distinctive flavor. With a heritage dating back more than 300 years, DeKuyper Cordials , Liqueurs continues to be on the cutting edge of the spirits industry. DeKuyper's evolution has been successful through the combination of its rich, traditional expertise with modern innovation, creating mixable and versatile cordials, liqueurs, crèmes, brandies and schnapps made from the world's finest ingredients. DeKuyper has been the brand bartenders trust to add color, flavor and fun to any cocktail."
59,DeKuyper Coffee Flavored Brandy,United States,DeKuyper Liqueur,Liqueur,,30%,,,5,1,$11.99 ,,"Add rich coffee flavor to your cocktail repertoire with DeKuyper® Coffee Flavored Brandy. Perfect poured over or mixed into your favorite desserts, its bold coffee flavor infuses cocktails with subtle warm notes of vanilla, caramel, and chocolate. Serve it with vodka and cream over ice for a delicious White Russian, balancing subtle bittersweet coffee taste, vodka heat, and silky cream."
45,DeKuyper Strawberry Patch Schnapps Liqueur,United States,DeKuyper Liqueur,Liqueur,,22.50%,,,5,1,$12.31 ,,"DeKuyper® Strawberry Patch Schnapps Liqueur infuses your cocktails with a kick of fresh fruit flavor. Bursting with bold strawberry taste, its sweet flavor can't be beat in a Margarita or other favorite mixed drinks. Its red color and luscious strawberry flavor complements tart citrus ingredients in your beverages. With a heritage dating back more than 300 years, DeKuyper® Cordials , Liqueurs continues to be on the cutting edge of the spirits industry. DeKuyper's evolution has been successful through the combination of its rich, traditional expertise and modern innovation, creating mixable and versatile cordials, liqueurs, crèmes, brandies and schnapps made from the world's finest ingredients. DeKuyper has been the brand bartenders trust to add color, flavor and fun to any cocktail."
16,DeKuyper Blackberry Flavored Brandy,United States,DeKuyper Liqueur,Liqueur,,30%,,,5,3,$12.31 ,,"Crafted with extracts of blackberries blended with fine brandy, DeKuyper® Blackberry Flavored Brandy makes a mouthwatering treat. Only the finest fruits are selected and specially blended to bring out the full-bodied blackberry taste. Sip it on its own for a smooth, full-bodied drink or balance your favorite cocktails with its deep blackberry flavor. Perfect in any season, accentuate the flavors of fall by blending it with a pint of hard apple cider or a Bramble in summer, melding its berry taste with gin, fresh lemon juice and sugar syrup."
22,DeKuyper Cherry Brandy,Netherlands,DeKuyper Liqueur,"Chocolate, Sweet Liqueur, Liqueur",,30%,,,5,2,$12.31 ,,"DeKuyper® Cherry Schnapps Liqueur delivers the full-bodied taste of cherry in every sip. Made with maraschino cherry extract and fine Kirsch, this cordial brings the deliciously sweet flavor of ripe cherries to any cocktail. Perfect for sipping after dinner or mixing into your favorite desserts, its bold red color and cherry flavor infuses cocktails with a delicious burst of sweetness."
20,DeKuyper Apricot Flavored Brandy,United States,DeKuyper Liqueur,Liqueur,,35%,,,5,2,$12.31 ,,"Versatile with a quintessential apricot taste, DeKuyper® Apricot Flavored Brandy is essential for classic and modern cocktails. Made with premium apricot distillate blended with crushed fruit kernels and quality brandy, this fine apricot brandy is the essence of summer. Considered an aphrodisiac in Europe for centuries, the apricot's luscious curves, juicy flesh and sweet taste led people to believe that eating dried apricots or prunes unleashed the powers of love. Perfect sipping on its own, its fruity flavor shines through in an Apricot Caipirinha, or mingled with fresh lime and orange juice and soda for a refreshing Apricot Fizz."
26,DeKuyper Apricot Flavored Brandy,United States,DeKuyper Liqueur,"Brandy, Liqueur, Cordials,  Schnapps",,35%,,,5,1,$12.31 ,,"Versatile with a quintessential apricot taste, DeKuyper® Apricot Flavored Brandy is essential for classic and modern cocktails. Made with premium apricot distillate blended with crushed fruit kernels and quality brandy, this fine apricot brandy is the essence of summer. Considered an aphrodisiac in Europe for centuries, the apricot's luscious curves, juicy flesh and sweet taste led people to believe that eating dried apricots or prunes unleashed the powers of love. Perfect sipping on its own, its fruity flavor shines through in an Apricot Caipirinha, or mingled with fresh lime and orange juice and soda for a refreshing Apricot Fizz."
31,DeKuyper Creme de Menthe Green Liqueur,United States,DeKuyper Liqueur,Liqueur,,30%,,,2.5,2,$12.41 ,,"Made with mint leaves, this cool, refreshing liqueur is the key to a perfect Grasshopper."
17,DeKuyper Orange Curaco Liqueur,United States,DeKuyper Liqueur,"Citrus, Triple Sec Liqueur, Liqueur",,30%,,,5,2,$12.52 ,,"DeKuyper® Orange Curacao infuses your cocktails with citrus and tropical flavor. Synonymous with island flavor, this clear-colored favorite is harmoniously blended from distilled extracts of oranges, lemons and Curacao fruit. Balanced for sweetness, Orange Curacao is incredibly useful in crafting distinctive drinks"
76,BACARDĺ Ready to Drink Rum Punch,Puerto Rico,Bacardi Rum,"Punch Ready-to-Drink, Ready-to-Drink",Fruity,5.80%,,,4.7,18,$12.62 ,,"BACARDĺ Ready to Drink Rum Punch is a full flavored cocktail with a tropical blend of pineapple, mango, and passion fruit.

BACARDĺ Ready to Drink Cocktails are real rum cocktails ready to go! Made with BACARDĺ Rum, all natural flavors and other real ingredients (like cane sugar, natural juices or concentrates) and no artificial sweeteners."
85,BACARDĺ Ready to Drink Límon & Lemonade,Puerto Rico,Bacardi Rum,"Fruit Cocktail Ready-to-Drink, Ready-to-Drink",Citrus,5.80%,,,5,7,$12.62 ,,"Límon & Lemonade has bright and refreshing flavors that will bring you to warmer weather. Natural and bright lemon and citrus is balanced with refreshingly tart and sweet lemonade. 

BACARDĺ Ready to Drink Cocktails are real rum cocktails ready to go! Made with BACARDĺ Rum, all natural flavors and other real ingredients (like cane sugar, natural juices or concentrates) and no artificial sweeteners."
90,BACARDĺ Ready to Drink Lime & Soda,Puerto Rico,Bacardi Rum,"Ready-to-Drink, Rum  Cola Ready-to-Drink",Citrus,5.80%,,,5,3,$12.62 ,,"Lime & Soda is crisp and bright. Natural lime flavors with a hint of cane sugar let you enjoy a light cocktail wherever you may be.

BACARDĺ Ready to Drink Cocktails are real rum cocktails ready to go! Made with BACARDĺ Rum, all natural flavors and other real ingredients (like cane sugar, natural juices or concentrates) and no artificial sweeteners."
56,"John DeKuyper , Sons Peche Premium White Peach Liqueur",United States,DeKuyper Liqueur,Liqueur,,35%,,,5,1,$12.74 ,,"John DeKuyper , Sons™ Peche is made with delicate white peaches picked at the peak of ripeness with undertones of the full bodied French red vineyard peach, juicy with the perfect balance of sweet and sour."
6,Dekuyper Crème de Cacao Dark Liqueur,Netherlands,DeKuyper Liqueur,"Cream Liqueur, Liqueur",,54%,,,5,15,$12.95 ,,"DeKuyper® Crème de Cocoa Dark offers all the tempting taste of chocolate in an intensely flavored liqueur. Bring refined cocoa flavor to desserts, pour over ice cream or stir with hot coffee or espresso. Shake it with ice, vanilla vodka and Irish cream for a smooth Chocolate Martini, a dessert and after-dinner cocktail all in one. With a heritage dating back more than 300 years, DeKuyper® Cordials , Liqueurs continues to be on the cutting edge of the spirits industry."
199,Jack Daniel’s Whiskey & Seltzer,United States,Jack Daniels,Ready-to-Drink,,5%,,,3.7,4,$12.99 ,,The perfect mix of real Jack Daniel’s Tennessee Whiskey and Seltzer at 5% ABV.
189,Jack Daniel’s Whiskey & Cola,United States,Jack Daniels,Ready-to-Drink,,7%,,,5,18,$12.99 ,,A perfect mix of Jack Daniel's Old No 7 Whiskey and Cola.
190,Jack Daniel’s Tennessee Honey and Lemonade,United States,Jack Daniels,Ready-to-Drink,,7%,,,5,14,$12.99 ,,"Real Jack Daniel’s Tennessee Whiskey, Honey and Lemonade perfectly mixed at 7% ABV."
4,DeKuyper Buttershots Schnapps Liqueur,United States,DeKuyper Liqueur,Liqueur,,15%,,,4.8,35,$12.99 ,,"DeKuyper® Buttershots™ Schnapps Liqueur is carefully created with the rich, creamy flavor of butterscotch to deliver you the fine taste you expect from De Kuyper. Bring the comforting flavor of butterscotch to your favorite drinks with this buttery liqueur. A clear liqueur, Buttershots™ tastes of indulgent, rich, and melted butter and brown sugar."
7,DeKuyper Watermelon Pucker Schnapps Liqueur,United States,DeKuyper Liqueur,Liqueur,,15%,,,5,15,$12.99 ,,"DeKuyper® Pucker® Watermelon Schnapps Liqueur delivers tart and refreshing watermelon to your favorite summertime drinks. Add a splash of bold flavor to your cocktails with this fruity liqueur. A sweet and sour sensation, this liqueur bursts with sweetness followed by a mouth-puckering sourness. Great for mixing, Pucker® Watermelon makes a great foundation for watermelon inspired martinis, punches, daiquiris, and more."
14,DeKuyper Hot Damn! Cinnamon Schnapps Liqueur,United States,DeKuyper Liqueur,"Herbal, Spice Liqueur, Liqueur",,15%,,,5,4,$12.99 ,,"DeKuyper® Hot Damn!® Cinnamon Schnapps Liqueur starts any night off with a bang. With its bold, delicious flavor of fiery cinnamon, this liqueur is the perfect way to warm up shots and cocktails. Extremely versatile with endless combination possibilities, the simple but distinct taste of cinnamon pairs with almost any type of mixer for a fun and spicy cocktail."
